test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
69.0,2186.45,180.75,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,56.0,10.0,2.0,0.0,369.0,150.0,156.0,11.0
70.0,98.15,545.25,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,56.0,5.0,4.0,0.0,335.0,136.0,159.0,14.0
71.0,146.75,241.35,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,55.0,6.0,3.0,0.0,358.0,160.0,166.0,8.0
72.0,82.2,632.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,49.0,4.0,2.0,1.0,317.0,141.0,147.0,14.0
73.0,633.8,251.15,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,61.0,3.0,2.0,0.0,314.0,151.0,145.0,12.0
74.0,781.0500000000001,75.75,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,56.0,4.0,8.0,0.0,326.0,130.0,156.0,8.0
75.0,45.3,57.699999999999996,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,43.0,6.0,4.0,0.0,339.0,145.0,174.0,5.0
76.0,146.25,210.34999999999997,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,32.0,5.0,4.0,0.0,333.0,121.0,157.0,17.0
77.0,71.8,213.6,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,57.0,3.0,4.0,0.0,313.0,151.0,124.0,7.0
78.0,237.6,522.6,5.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,52.0,4.0,2.0,1.0,326.0,109.0,143.0,6.0
79.0,1824.9,719.65,1.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,54.0,6.0,6.0,0.0,323.0,120.0,140.0,6.0
80.0,324.6,200.6,3.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,45.0,4.0,7.0,0.0,297.0,126.0,143.0,8.0
81.0,241.55,122.30000000000001,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57.0,5.0,3.0,1.0,332.0,153.0,161.0,7.0
82.0,144.55,194.8,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,48.0,7.0,2.0,0.0,300.0,124.0,165.0,9.0
