test_day,gain_value,loss_value,prio1_det,prio2_det,prio3_det,prio4_det,prio1_undet,prio2_undet,prio3_undet,prio4_undet,prio1_false_positive,prio2_false_positive,prio3_false_positive,prio4_false_positive,prio1_true_neg,prio2_true_neg,prio3_true_neg,prio4_true_neg
121.0,37.3,318.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,38.0,3.0,3.0,0.0,317.0,133.0,151.0,14.0
122.0,96.94999999999999,146.65,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,56.0,2.0,4.0,0.0,318.0,142.0,161.0,7.0
123.0,1301.15,555.8499999999999,10.0,0.0,2.0,1.0,9.0,2.0,0.0,0.0,74.0,4.0,6.0,0.0,661.0,330.0,664.0,21.0
124.0,1183.45,515.4499999999999,2.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,66.0,16.0,1.0,0.0,658.0,300.0,175.0,8.0
125.0,1021.4499999999999,888.3,4.0,2.0,0.0,1.0,2.0,1.0,3.0,1.0,73.0,13.0,4.0,0.0,705.0,281.0,168.0,15.0
126.0,78.5,136.95,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,72.0,5.0,1.0,0.0,564.0,191.0,181.0,10.0
127.0,55.95,442.59999999999997,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,55.0,2.0,4.0,0.0,333.0,128.0,182.0,15.0
128.0,137.5,319.95,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,58.0,2.0,4.0,0.0,326.0,138.0,164.0,7.0
129.0,41.2,391.34999999999997,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,72.0,7.0,6.0,0.0,365.0,177.0,169.0,8.0
130.0,383.45,229.40000000000003,4.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,47.0,2.0,5.0,0.0,377.0,147.0,180.0,10.0
131.0,747.4000000000001,316.3,3.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,48.0,3.0,2.0,0.0,355.0,154.0,164.0,13.0
132.0,244.89999999999998,569.0,6.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,65.0,4.0,2.0,0.0,362.0,139.0,199.0,15.0
133.0,132.89999999999998,474.95,2.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,56.0,2.0,5.0,0.0,334.0,142.0,176.0,6.0
134.0,879.5999999999999,371.95000000000005,6.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,42.0,3.0,3.0,0.0,353.0,153.0,173.0,18.0
135.0,298.95,296.4,6.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,51.0,4.0,6.0,0.0,355.0,131.0,167.0,9.0
136.0,500.34999999999997,170.55,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,45.0,4.0,4.0,0.0,344.0,161.0,208.0,11.0
137.0,662.6500000000001,419.4,2.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,53.0,5.0,1.0,0.0,320.0,142.0,169.0,15.0
138.0,495.65000000000003,444.45000000000005,1.0,1.0,2.0,0.0,5.0,0.0,1.0,0.0,58.0,2.0,5.0,0.0,331.0,141.0,166.0,7.0
139.0,63.15,598.05,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,52.0,4.0,1.0,0.0,382.0,144.0,157.0,12.0
140.0,147.55,98.7,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,58.0,4.0,5.0,0.0,367.0,144.0,169.0,12.0
141.0,237.05,274.9,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,46.0,6.0,4.0,0.0,330.0,143.0,162.0,6.0
142.0,0.0,261.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,51.0,3.0,2.0,0.0,363.0,136.0,178.0,16.0
143.0,460.05,358.79999999999995,6.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,58.0,6.0,2.0,0.0,348.0,153.0,199.0,10.0
144.0,103.1,587.3000000000001,2.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,50.0,1.0,4.0,0.0,339.0,152.0,165.0,11.0
145.0,120.30000000000001,407.15,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,64.0,2.0,5.0,0.0,277.0,131.0,170.0,14.0
146.0,170.35000000000002,195.4,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,3.0,2.0,0.0,361.0,145.0,170.0,12.0
147.0,432.75,207.95,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,47.0,3.0,6.0,0.0,316.0,146.0,179.0,16.0
148.0,330.20000000000005,335.4,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,54.0,2.0,2.0,0.0,328.0,148.0,187.0,13.0
